Date,HomeTeam,AwayTeam,FTHG,FTAG
10-Oct-14,Melbourne Victory,Western Sydney,4,1
11-Oct-14,Sydney FC,Melbourne City,1,1
11-Oct-14,Central Coast Mariners,Newcastle Jets,1,0
12-Oct-14,Brisbane Roar,Adelaide Utd,1,2
12-Oct-14,Wellington Phoenix,Perth Glory,1,2
17-Oct-14,Adelaide Utd,Melbourne Victory,1,1
18-Oct-14,Sydney FC,Western Sydney,3,2
18-Oct-14,Central Coast Mariners,Wellington Phoenix,1,2
19-Oct-14,Perth Glory,Brisbane Roar,3,2
19-Oct-14,Melbourne City,Newcastle Jets,1,1
24-Oct-14,Brisbane Roar,Sydney FC,0,2
25-Oct-14,Melbourne Victory,Melbourne City,5,2
26-Oct-14,Adelaide Utd,Perth Glory,2,0
26-Oct-14,Wellington Phoenix,Newcastle Jets,4,1
31-Oct-14,Melbourne City,Adelaide Utd,1,2
1-Nov-14,Perth Glory,Newcastle Jets,2,1
2-Nov-14,Sydney FC,Central Coast Mariners,2,0
3-Nov-14,Melbourne Victory,Wellington Phoenix,2,0
7-Nov-14,Adelaide Utd,Sydney FC,0,0
7-Nov-14,Wellington Phoenix,Western Sydney,1,0
8-Nov-14,Brisbane Roar,Melbourne City,1,3
8-Nov-14,Newcastle Jets,Melbourne Victory,2,2
9-Nov-14,Central Coast Mariners,Perth Glory,0,1
14-Nov-14,Newcastle Jets,Brisbane Roar,0,4
15-Nov-14,Perth Glory,Western Sydney,2,1
15-Nov-14,Sydney FC,Melbourne Victory,0,0
15-Nov-14,Adelaide Utd,Wellington Phoenix,2,1
16-Nov-14,Melbourne City,Central Coast Mariners,2,2
19-Nov-14,Western Sydney,Central Coast Mariners,0,0
21-Nov-14,Perth Glory,Wellington Phoenix,2,1
21-Nov-14,Melbourne Victory,Brisbane Roar,1,0
22-Nov-14,Melbourne City,Sydney FC,1,2
22-Nov-14,Western Sydney,Newcastle Jets,1,1
23-Nov-14,Central Coast Mariners,Adelaide Utd,0,2
28-Nov-14,Melbourne Victory,Adelaide Utd,3,2
29-Nov-14,Western Sydney,Sydney FC,1,1
29-Nov-14,Brisbane Roar,Perth Glory,1,1
30-Nov-14,Newcastle Jets,Central Coast Mariners,1,1
30-Nov-14,Wellington Phoenix,Melbourne City,5,1
3-Dec-14,Western Sydney,Brisbane Roar,0,1
4-Dec-14,Sydney FC,Perth Glory,1,2
5-Dec-14,Central Coast Mariners,Melbourne Victory,0,3
6-Dec-14,Adelaide Utd,Western Sydney,2,0
6-Dec-14,Newcastle Jets,Wellington Phoenix,1,3
7-Dec-14,Melbourne City,Brisbane Roar,1,0
12-Dec-14,Perth Glory,Newcastle Jets,2,0
12-Dec-14,Adelaide Utd,Brisbane Roar,0,1
13-Dec-14,Melbourne Victory,Sydney FC,3,3
13-Dec-14,Wellington Phoenix,Central Coast Mariners,1,1
19-Dec-14,Newcastle Jets,Adelaide Utd,2,1
20-Dec-14,Perth Glory,Central Coast Mariners,4,1
20-Dec-14,Melbourne City,Melbourne Victory,1,0
21-Dec-14,Sydney FC,Wellington Phoenix,0,2
26-Dec-14,Sydney FC,Adelaide Utd,0,3
26-Dec-14,Melbourne City,Perth Glory,1,1
27-Dec-14,Melbourne Victory,Newcastle Jets,1,0
27-Dec-14,Central Coast Mariners,Brisbane Roar,3,3
28-Dec-14,Wellington Phoenix,Western Sydney,1,0
30-Dec-14,Brisbane Roar,Sydney FC,0,0
30-Dec-14,Newcastle Jets,Melbourne City,2,5
31-Dec-14,Adelaide Utd,Wellington Phoenix,1,3
1-Jan-15,Western Sydney,Central Coast Mariners,0,0
2-Jan-15,Melbourne Victory,Perth Glory,1,2
3-Jan-15,Sydney FC,Newcastle Jets,0,0
4-Jan-15,Central Coast Mariners,Melbourne City,2,0
4-Jan-15,Wellington Phoenix,Brisbane Roar,3,0
5-Jan-15,Perth Glory,Adelaide Utd,1,2
6-Jan-15,Western Sydney,Melbourne Victory,1,2
24-Jan-15,Central Coast Mariners,Sydney FC,1,5
24-Jan-15,Adelaide Utd,Newcastle Jets,7,0
25-Jan-15,Perth Glory,Melbourne Victory,3,3
1-Feb-15,Melbourne City,Western Sydney,2,1
2-Feb-15,Brisbane Roar,Wellington Phoenix,3,2
6-Feb-15,Newcastle Jets,Brisbane Roar,1,2
7-Feb-15,Perth Glory,Sydney FC,1,3
7-Feb-15,Melbourne Victory,Melbourne City,3,0
7-Feb-15,Central Coast Mariners,Adelaide Utd,2,1
8-Feb-15,Western Sydney,Wellington Phoenix,2,0
13-Feb-15,Central Coast Mariners,Brisbane Roar,0,2
14-Feb-15,Sydney FC,Melbourne Victory,3,3
14-Feb-15,Newcastle Jets,Western Sydney,1,1
14-Feb-15,Wellington Phoenix,Melbourne City,0,0
15-Feb-15,Adelaide Utd,Perth Glory,1,1
21-Feb-15,Adelaide Utd,Western Sydney,2,1
21-Feb-15,Sydney FC,Central Coast Mariners,4,2
22-Feb-15,Melbourne City,Perth Glory,0,0
22-Feb-15,Wellington Phoenix,Newcastle Jets,2,2
27-Feb-15,Melbourne City,Adelaide Utd,3,1
28-Feb-15,Perth Glory,Brisbane Roar,2,2
28-Feb-15,Western Sydney,Sydney FC,3,4
28-Feb-15,Newcastle Jets,Central Coast Mariners,0,0
1-Mar-15,Melbourne Victory,Wellington Phoenix,2,3
6-Mar-15,Newcastle Jets,Sydney FC,0,1
7-Mar-15,Melbourne Victory,Perth Glory,1,1
7-Mar-15,Wellington Phoenix,Adelaide Utd,2,0
8-Mar-15,Brisbane Roar,Western Sydney,1,0
8-Mar-15,Central Coast Mariners,Melbourne City,1,0
11-Mar-15,Western Sydney,Melbourne City,3,2
12-Mar-15,Adelaide Utd,Central Coast Mariners,2,1
13-Mar-15,Western Sydney,Melbourne Victory,0,3
14-Mar-15,Perth Glory,Wellington Phoenix,1,2
14-Mar-15,Melbourne City,Newcastle Jets,4,0
15-Mar-15,Sydney FC,Brisbane Roar,5,4
20-Mar-15,Sydney FC,Melbourne City,0,1
21-Mar-15,Adelaide Utd,Melbourne Victory,2,2
21-Mar-15,Western Sydney,Newcastle Jets,1,2
22-Mar-15,Brisbane Roar,Wellington Phoenix,1,2
22-Mar-15,Central Coast Mariners,Perth Glory,1,1
25-Mar-15,Brisbane Roar,Western Sydney,1,4
27-Mar-15,Melbourne Victory,Central Coast Mariners,2,1
28-Mar-15,Perth Glory,Western Sydney,3,2
28-Mar-15,Melbourne City,Brisbane Roar,1,0
29-Mar-15,Newcastle Jets,Adelaide Utd,0,1
29-Mar-15,Wellington Phoenix,Sydney FC,0,3
2-Apr-15,Brisbane Roar,Central Coast Mariners,6,1
3-Apr-15,Western Sydney,Melbourne City,1,1
4-Apr-15,Sydney FC,Adelaide Utd,0,1
5-Apr-15,Wellington Phoenix,Melbourne Victory,0,3
6-Apr-15,Newcastle Jets,Perth Glory,0,2
10-Apr-15,Perth Glory,Sydney FC,0,3
10-Apr-15,Melbourne Victory,Newcastle Jets,0,1
11-Apr-15,Central Coast Mariners,Western Sydney,1,0
11-Apr-15,Adelaide Utd,Brisbane Roar,2,3
12-Apr-15,Melbourne City,Wellington Phoenix,0,0
15-Apr-15,Brisbane Roar,Melbourne Victory,1,2
17-Apr-15,Newcastle Jets,Sydney FC,3,4
17-Apr-15,Wellington Phoenix,Central Coast Mariners,3,2
18-Apr-15,Brisbane Roar,Melbourne Victory,0,1
18-Apr-15,Western Sydney,Adelaide Utd,2,1
19-Apr-15,Perth Glory,Melbourne City,3,1
24-Apr-15,Brisbane Roar,Newcastle Jets,2,1
25-Apr-15,Adelaide Utd,Melbourne City,4,1
25-Apr-15,Western Sydney,Perth Glory,1,2
26-Apr-15,Melbourne Victory,Central Coast Mariners,3,1
26-Apr-15,Wellington Phoenix,Sydney FC,1,2
1-May-15,Adelaide Utd,Brisbane Roar,2,1
3-May-15,Wellington Phoenix,Melbourne City,0,2
8-May-15,Melbourne Victory,Melbourne City,3,0
9-May-15,Sydney FC,Adelaide Utd,4,1
16-May-15,Melbourne Victory,Sydney FC,3,0
8-Oct-15,Western Sydney,Brisbane Roar,1,3
9-Oct-15,Adelaide Utd,Melbourne Victory,0,0
10-Oct-15,Sydney FC,Melbourne City,1,1
10-Oct-15,Central Coast Mariners,Perth Glory,3,2
11-Oct-15,Wellington Phoenix,Newcastle Jets,1,2
16-Oct-15,Adelaide Utd,Western Sydney,1,1
17-Oct-15,Melbourne Victory,Melbourne City,3,2
17-Oct-15,Newcastle Jets,Sydney FC,0,1
18-Oct-15,Perth Glory,Wellington Phoenix,1,2
18-Oct-15,Brisbane Roar,Central Coast Mariners,2,1
23-Oct-15,Newcastle Jets,Melbourne Victory,1,0
24-Oct-15,Sydney FC,Western Sydney,1,0
24-Oct-15,Wellington Phoenix,Brisbane Roar,3,2
25-Oct-15,Perth Glory,Adelaide Utd,3,1
25-Oct-15,Melbourne City,Central Coast Mariners,3,1
30-Oct-15,Melbourne City,Newcastle Jets,2,3
31-Oct-15,Brisbane Roar,Adelaide Utd,3,0
31-Oct-15,Central Coast Mariners,Sydney FC,1,3
1-Nov-15,Western Sydney,Perth Glory,1,0
2-Nov-15,Melbourne Victory,Wellington Phoenix,3,0
5-Nov-15,Adelaide Utd,Melbourne City,2,4
6-Nov-15,Sydney FC,Brisbane Roar,0,0
7-Nov-15,Newcastle Jets,Western Sydney,1,2
8-Nov-15,Central Coast Mariners,Wellington Phoenix,1,1
13-Nov-15,Melbourne City,Western Sydney,0,3
13-Nov-15,Wellington Phoenix,Adelaide Utd,4,2
14-Nov-15,Sydney FC,Melbourne Victory,2,4
14-Nov-15,Newcastle Jets,Central Coast Mariners,1,1
15-Nov-15,Brisbane Roar,Perth Glory,1,0
19-Nov-15,Melbourne Victory,Central Coast Mariners,2,1
20-Nov-15,Brisbane Roar,Melbourne City,1,1
21-Nov-15,Perth Glory,Sydney FC,0,0
21-Nov-15,Western Sydney,Wellington Phoenix,2,1
22-Nov-15,Adelaide Utd,Newcastle Jets,0,0
26-Nov-15,Sydney FC,Wellington Phoenix,0,0
27-Nov-15,Melbourne City,Perth Glory,5,1
28-Nov-15,Melbourne Victory,Adelaide Utd,2,1
28-Nov-15,Newcastle Jets,Brisbane Roar,1,1
29-Nov-15,Central Coast Mariners,Western Sydney,0,2
3-Dec-15,Central Coast Mariners,Melbourne City,1,5
4-Dec-15,Sydney FC,Newcastle Jets,1,0
5-Dec-15,Western Sydney,Brisbane Roar,2,1
5-Dec-15,Wellington Phoenix,Melbourne Victory,2,0
6-Dec-15,Adelaide Utd,Perth Glory,1,0
11-Dec-15,Adelaide Utd,Sydney FC,2,1
12-Dec-15,Perth Glory,Central Coast Mariners,2,1
12-Dec-15,Western Sydney,Melbourne Victory,2,0
12-Dec-15,Brisbane Roar,Wellington Phoenix,2,1
13-Dec-15,Newcastle Jets,Melbourne City,0,4
16-Dec-15,Perth Glory,Melbourne Victory,1,0
18-Dec-15,Newcastle Jets,Adelaide Utd,0,0
19-Dec-15,Perth Glory,Western Sydney,2,2
19-Dec-15,Melbourne City,Melbourne Victory,2,1
19-Dec-15,Wellington Phoenix,Sydney FC,1,1
20-Dec-15,Central Coast Mariners,Brisbane Roar,0,1
24-Dec-15,Western Sydney,Newcastle Jets,2,0
26-Dec-15,Sydney FC,Central Coast Mariners,4,1
26-Dec-15,Adelaide Utd,Wellington Phoenix,3,0
27-Dec-15,Brisbane Roar,Melbourne City,3,1
27-Dec-15,Melbourne Victory,Perth Glory,1,1
31-Dec-15,Central Coast Mariners,Wellington Phoenix,3,1
1-Jan-16,Western Sydney,Adelaide Utd,0,0
2-Jan-16,Melbourne City,Sydney FC,2,2
2-Jan-16,Brisbane Roar,Perth Glory,2,1
3-Jan-16,Newcastle Jets,Melbourne Victory,0,1
8-Jan-16,Central Coast Mariners,Melbourne Victory,3,3
9-Jan-16,Perth Glory,Adelaide Utd,1,3
9-Jan-16,Melbourne City,Western Sydney,3,2
9-Jan-16,Sydney FC,Newcastle Jets,2,0
10-Jan-16,Wellington Phoenix,Brisbane Roar,0,0
15-Jan-16,Melbourne Victory,Brisbane Roar,4,0
16-Jan-16,Perth Glory,Melbourne City,2,2
16-Jan-16,Western Sydney,Sydney FC,1,2
16-Jan-16,Adelaide Utd,Central Coast Mariners,3,1
17-Jan-16,Newcastle Jets,Wellington Phoenix,3,1
22-Jan-16,Brisbane Roar,Adelaide Utd,1,4
23-Jan-16,Central Coast Mariners,Western Sydney,1,2
24-Jan-16,Newcastle Jets,Perth Glory,1,6
25-Jan-16,Melbourne City,Wellington Phoenix,3,1
26-Jan-16,Melbourne Victory,Sydney FC,1,0
29-Jan-16,Western Sydney,Melbourne City,4,3
30-Jan-16,Perth Glory,Melbourne Victory,3,2
30-Jan-16,Sydney FC,Brisbane Roar,1,3
30-Jan-16,Wellington Phoenix,Central Coast Mariners,1,3
31-Jan-16,Adelaide Utd,Newcastle Jets,1,0
5-Feb-16,Adelaide Utd,Sydney FC,2,2
6-Feb-16,Melbourne Victory,Western Sydney,1,1
6-Feb-16,Brisbane Roar,Central Coast Mariners,4,0
7-Feb-16,Newcastle Jets,Melbourne City,2,1
7-Feb-16,Wellington Phoenix,Perth Glory,0,1
12-Feb-16,Brisbane Roar,Newcastle Jets,2,2
13-Feb-16,Melbourne City,Melbourne Victory,2,2
13-Feb-16,Sydney FC,Perth Glory,1,2
14-Feb-16,Central Coast Mariners,Adelaide Utd,2,3
14-Feb-16,Western Sydney,Wellington Phoenix,2,5
19-Feb-16,Melbourne Victory,Adelaide Utd,0,1
20-Feb-16,Perth Glory,Brisbane Roar,6,3
20-Feb-16,Sydney FC,Western Sydney,1,1
20-Feb-16,Newcastle Jets,Wellington Phoenix,3,2
21-Feb-16,Melbourne City,Central Coast Mariners,4,1
26-Feb-16,Western Sydney,Perth Glory,2,1
26-Feb-16,Wellington Phoenix,Melbourne City,2,1
27-Feb-16,Melbourne Victory,Sydney FC,1,1
27-Feb-16,Adelaide Utd,Brisbane Roar,3,0
28-Feb-16,Central Coast Mariners,Newcastle Jets,0,1
4-Mar-16,Brisbane Roar,Western Sydney,3,2
5-Mar-16,Melbourne City,Sydney FC,3,0
5-Mar-16,Wellington Phoenix,Adelaide Utd,0,4
6-Mar-16,Central Coast Mariners,Melbourne Victory,0,2
7-Mar-16,Perth Glory,Newcastle Jets,2,0
11-Mar-16,Adelaide Utd,Melbourne City,0,1
12-Mar-16,Perth Glory,Central Coast Mariners,4,0
12-Mar-16,Brisbane Roar,Melbourne Victory,5,0
12-Mar-16,Sydney FC,Wellington Phoenix,1,3
13-Mar-16,Newcastle Jets,Western Sydney,0,1
18-Mar-16,Melbourne City,Brisbane Roar,3,1
19-Mar-16,Western Sydney,Adelaide Utd,0,0
19-Mar-16,Central Coast Mariners,Sydney FC,2,2
20-Mar-16,Melbourne Victory,Newcastle Jets,1,1
20-Mar-16,Wellington Phoenix,Perth Glory,1,2
25-Mar-16,Melbourne Victory,Western Sydney,2,0
26-Mar-16,Brisbane Roar,Sydney FC,3,2
26-Mar-16,Newcastle Jets,Perth Glory,1,2
27-Mar-16,Adelaide Utd,Central Coast Mariners,4,2
28-Mar-16,Melbourne City,Wellington Phoenix,3,0
1-Apr-16,Western Sydney,Central Coast Mariners,4,1
2-Apr-16,Sydney FC,Adelaide Utd,0,2
2-Apr-16,Wellington Phoenix,Melbourne Victory,1,4
3-Apr-16,Perth Glory,Melbourne City,3,2
3-Apr-16,Brisbane Roar,Newcastle Jets,2,1
8-Apr-16,Melbourne City,Adelaide Utd,0,2
9-Apr-16,Melbourne Victory,Brisbane Roar,0,0
9-Apr-16,Central Coast Mariners,Newcastle Jets,2,4
10-Apr-16,Sydney FC,Perth Glory,4,0
10-Apr-16,Wellington Phoenix,Western Sydney,0,2
15-Apr-16,Brisbane Roar,Melbourne Victory,2,1
17-Apr-16,Melbourne City,Perth Glory,2,0
22-Apr-16,Adelaide Utd,Melbourne City,4,1
24-Apr-16,Western Sydney,Brisbane Roar,4,4
1-May-16,Adelaide Utd,Western Sydney,3,1
7-Oct-16,Brisbane Roar,Melbourne Victory,1,1
8-Oct-16,Perth Glory,Central Coast Mariners,3,3
8-Oct-16,Western Sydney,Sydney FC,0,4
8-Oct-16,Wellington Phoenix,Melbourne City,0,1
9-Oct-16,Newcastle Jets,Adelaide Utd,1,1
14-Oct-16,Adelaide Utd,Western Sydney,1,2
15-Oct-16,Melbourne Victory,Melbourne City,1,4
15-Oct-16,Sydney FC,Central Coast Mariners,4,0
16-Oct-16,Perth Glory,Wellington Phoenix,2,0
16-Oct-16,Newcastle Jets,Brisbane Roar,4,0
21-Oct-16,Melbourne City,Perth Glory,2,3
22-Oct-16,Adelaide Utd,Melbourne Victory,1,2
22-Oct-16,Central Coast Mariners,Brisbane Roar,0,1
23-Oct-16,Western Sydney,Newcastle Jets,2,2
23-Oct-16,Wellington Phoenix,Sydney FC,0,1
28-Oct-16,Melbourne City,Adelaide Utd,2,1
29-Oct-16,Western Sydney,Central Coast Mariners,1,1
29-Oct-16,Newcastle Jets,Sydney FC,0,2
30-Oct-16,Brisbane Roar,Perth Glory,2,1
31-Oct-16,Melbourne Victory,Wellington Phoenix,6,1
4-Nov-16,Brisbane Roar,Melbourne City,1,0
5-Nov-16,Sydney FC,Melbourne Victory,2,1
5-Nov-16,Wellington Phoenix,Newcastle Jets,2,0
6-Nov-16,Perth Glory,Western Sydney,2,2
6-Nov-16,Adelaide Utd,Central Coast Mariners,1,2
10-Nov-16,Melbourne City,Newcastle Jets,2,1
11-Nov-16,Adelaide Utd,Brisbane Roar,1,1
12-Nov-16,Melbourne Victory,Western Sydney,3,0
12-Nov-16,Central Coast Mariners,Wellington Phoenix,0,2
13-Nov-16,Sydney FC,Perth Glory,4,1
19-Nov-16,Perth Glory,Adelaide Utd,3,1
19-Nov-16,Western Sydney,Melbourne City,1,1
20-Nov-16,Newcastle Jets,Central Coast Mariners,1,1
20-Nov-16,Brisbane Roar,Sydney FC,1,1
25-Nov-16,Central Coast Mariners,Perth Glory,2,0
26-Nov-16,Melbourne Victory,Newcastle Jets,2,0
26-Nov-16,Western Sydney,Brisbane Roar,1,1
27-Nov-16,Melbourne City,Wellington Phoenix,2,1
27-Nov-16,Sydney FC,Adelaide Utd,0,0
2-Dec-16,Melbourne Victory,Perth Glory,1,1
3-Dec-16,Melbourne City,Brisbane Roar,1,1
3-Dec-16,Central Coast Mariners,Western Sydney,1,4
4-Dec-16,Adelaide Utd,Wellington Phoenix,2,0
4-Dec-16,Newcastle Jets,Sydney FC,0,2
9-Dec-16,Sydney FC,Melbourne City,1,1
10-Dec-16,Perth Glory,Newcastle Jets,1,2
10-Dec-16,Western Sydney,Melbourne Victory,0,3
10-Dec-16,Wellington Phoenix,Central Coast Mariners,3,0
11-Dec-16,Brisbane Roar,Adelaide Utd,4,0
16-Dec-16,Newcastle Jets,Adelaide Utd,2,1
17-Dec-16,Perth Glory,Sydney FC,1,4
17-Dec-16,Melbourne City,Melbourne Victory,1,2
17-Dec-16,Wellington Phoenix,Western Sydney,2,2
18-Dec-16,Central Coast Mariners,Brisbane Roar,1,2
23-Dec-16,Brisbane Roar,Western Sydney,1,1
26-Dec-16,Adelaide Utd,Sydney FC,0,4
26-Dec-16,Newcastle Jets,Wellington Phoenix,2,2
27-Dec-16,Melbourne City,Perth Glory,3,3
28-Dec-16,Melbourne Victory,Central Coast Mariners,4,1
30-Dec-16,Sydney FC,Brisbane Roar,2,0
31-Dec-16,Central Coast Mariners,Melbourne City,2,2
1-Jan-17,Western Sydney,Perth Glory,1,1
1-Jan-17,Wellington Phoenix,Adelaide Utd,0,0
2-Jan-17,Melbourne Victory,Newcastle Jets,4,2
5-Jan-17,Perth Glory,Wellington Phoenix,2,1
6-Jan-17,Melbourne City,Western Sydney,1,0
7-Jan-17,Adelaide Utd,Melbourne Victory,0,2
7-Jan-17,Brisbane Roar,Newcastle Jets,2,3
8-Jan-17,Central Coast Mariners,Sydney FC,2,3
12-Jan-17,Adelaide Utd,Melbourne City,2,1
13-Jan-17,Melbourne Victory,Brisbane Roar,3,2
14-Jan-17,Sydney FC,Western Sydney,0,0
14-Jan-17,Wellington Phoenix,Central Coast Mariners,1,0
15-Jan-17,Newcastle Jets,Perth Glory,2,2
17-Jan-17,Wellington Phoenix,Melbourne Victory,3,0
19-Jan-17,Melbourne City,Central Coast Mariners,2,1
20-Jan-17,Sydney FC,Adelaide Utd,2,0
21-Jan-17,Perth Glory,Melbourne Victory,2,1
21-Jan-17,Wellington Phoenix,Brisbane Roar,0,1
22-Jan-17,Western Sydney,Newcastle Jets,2,0
26-Jan-17,Melbourne Victory,Sydney FC,1,2
27-Jan-17,Newcastle Jets,Melbourne City,2,1
28-Jan-17,Brisbane Roar,Western Sydney,2,1
28-Jan-17,Central Coast Mariners,Perth Glory,2,0
29-Jan-17,Adelaide Utd,Wellington Phoenix,2,2
3-Feb-17,Brisbane Roar,Sydney FC,0,0
4-Feb-17,Perth Glory,Newcastle Jets,3,2
4-Feb-17,Melbourne Victory,Melbourne City,2,1
4-Feb-17,Wellington Phoenix,Western Sydney,1,3
5-Feb-17,Central Coast Mariners,Adelaide Utd,2,1
9-Feb-17,Sydney FC,Wellington Phoenix,3,1
10-Feb-17,Adelaide Utd,Perth Glory,0,5
11-Feb-17,Melbourne City,Brisbane Roar,2,2
12-Feb-17,Western Sydney,Central Coast Mariners,0,2
13-Feb-17,Newcastle Jets,Melbourne Victory,0,0
17-Feb-17,Adelaide Utd,Newcastle Jets,1,0
18-Feb-17,Perth Glory,Brisbane Roar,2,2
18-Feb-17,Western Sydney,Sydney FC,1,0
18-Feb-17,Wellington Phoenix,Melbourne City,1,5
19-Feb-17,Central Coast Mariners,Melbourne Victory,0,3
24-Feb-17,Melbourne City,Sydney FC,1,3
25-Feb-17,Perth Glory,Western Sydney,2,0
25-Feb-17,Melbourne Victory,Adelaide Utd,2,1
25-Feb-17,Brisbane Roar,Wellington Phoenix,1,2
26-Feb-17,Newcastle Jets,Central Coast Mariners,1,1
3-Mar-17,Sydney FC,Melbourne Victory,1,0
4-Mar-17,Western Sydney,Adelaide Utd,0,0
4-Mar-17,Wellington Phoenix,Perth Glory,3,3
5-Mar-17,Newcastle Jets,Brisbane Roar,1,3
5-Mar-17,Central Coast Mariners,Melbourne City,2,3
10-Mar-17,Sydney FC,Central Coast Mariners,1,0
11-Mar-17,Melbourne Victory,Perth Glory,4,1
18-Mar-17,Melbourne City,Newcastle Jets,4,0
19-Mar-17,Western Sydney,Wellington Phoenix,3,1
19-Mar-17,Adelaide Utd,Brisbane Roar,2,1
24-Mar-17,Western Sydney,Melbourne City,3,1
25-Mar-17,Brisbane Roar,Melbourne Victory,1,0
25-Mar-17,Central Coast Mariners,Adelaide Utd,2,3
26-Mar-17,Perth Glory,Sydney FC,0,3
26-Mar-17,Wellington Phoenix,Newcastle Jets,5,0
31-Mar-17,Adelaide Utd,Perth Glory,1,1
1-Apr-17,Sydney FC,Melbourne City,3,0
1-Apr-17,Newcastle Jets,Western Sydney,0,3
2-Apr-17,Brisbane Roar,Central Coast Mariners,5,1
2-Apr-17,Melbourne Victory,Wellington Phoenix,0,3
7-Apr-17,Melbourne City,Adelaide Utd,1,0
8-Apr-17,Perth Glory,Brisbane Roar,3,1
8-Apr-17,Western Sydney,Melbourne Victory,0,0
8-Apr-17,Wellington Phoenix,Sydney FC,1,1
9-Apr-17,Central Coast Mariners,Newcastle Jets,2,0
14-Apr-17,Melbourne Victory,Central Coast Mariners,1,0
15-Apr-17,Adelaide Utd,Western Sydney,2,2
15-Apr-17,Sydney FC,Newcastle Jets,2,0
16-Apr-17,Perth Glory,Melbourne City,5,4
16-Apr-17,Brisbane Roar,Wellington Phoenix,4,3
21-Apr-17,Brisbane Roar,Western Sydney,1,1
23-Apr-17,Melbourne City,Perth Glory,0,2
29-Apr-17,Sydney FC,Perth Glory,3,0
30-Apr-17,Melbourne Victory,Brisbane Roar,1,0
7-May-17,Sydney FC,Melbourne Victory,1,1
6-Oct-17,Melbourne City,Brisbane Roar,2,0
7-Oct-17,Melbourne Victory,Sydney FC,0,1
7-Oct-17,Central Coast Mariners,Newcastle Jets,1,5
8-Oct-17,Western Sydney,Perth Glory,2,1
8-Oct-17,Wellington Phoenix,Adelaide Utd,1,1
13-Oct-17,Brisbane Roar,Adelaide Utd,1,2
14-Oct-17,Melbourne Victory,Melbourne City,1,2
14-Oct-17,Western Sydney,Central Coast Mariners,2,2
15-Oct-17,Sydney FC,Wellington Phoenix,3,2
15-Oct-17,Newcastle Jets,Perth Glory,2,2
20-Oct-17,Adelaide Utd,Melbourne Victory,2,2
21-Oct-17,Sydney FC,Western Sydney,2,2
21-Oct-17,Melbourne City,Wellington Phoenix,1,0
22-Oct-17,Perth Glory,Central Coast Mariners,2,1
22-Oct-17,Brisbane Roar,Newcastle Jets,1,2
27-Oct-17,Sydney FC,Perth Glory,2,0
28-Oct-17,Adelaide Utd,Melbourne City,0,2
28-Oct-17,Wellington Phoenix,Brisbane Roar,3,3
29-Oct-17,Central Coast Mariners,Melbourne Victory,1,1
29-Oct-17,Newcastle Jets,Western Sydney,1,1
3-Nov-17,Melbourne City,Sydney FC,0,1
4-Nov-17,Perth Glory,Adelaide Utd,1,0
4-Nov-17,Newcastle Jets,Wellington Phoenix,3,0
5-Nov-17,Brisbane Roar,Central Coast Mariners,0,0
6-Nov-17,Melbourne Victory,Western Sydney,1,1
10-Nov-17,Central Coast Mariners,Sydney FC,2,0
11-Nov-17,Melbourne Victory,Brisbane Roar,1,1
11-Nov-17,Adelaide Utd,Newcastle Jets,1,2
12-Nov-17,Melbourne City,Western Sydney,1,1
12-Nov-17,Wellington Phoenix,Perth Glory,5,2
16-Nov-17,Central Coast Mariners,Adelaide Utd,1,2
17-Nov-17,Brisbane Roar,Melbourne City,3,1
18-Nov-17,Sydney FC,Newcastle Jets,2,1
19-Nov-17,Perth Glory,Melbourne Victory,0,2
23-Nov-17,Newcastle Jets,Melbourne Victory,4,1
24-Nov-17,Melbourne City,Perth Glory,1,3
25-Nov-17,Sydney FC,Brisbane Roar,3,1
25-Nov-17,Wellington Phoenix,Central Coast Mariners,1,4
26-Nov-17,Adelaide Utd,Western Sydney,2,0
1-Dec-17,Adelaide Utd,Sydney FC,0,1
2-Dec-17,Newcastle Jets,Melbourne City,1,2
2-Dec-17,Western Sydney,Brisbane Roar,0,2
3-Dec-17,Central Coast Mariners,Perth Glory,1,0
3-Dec-17,Wellington Phoenix,Melbourne Victory,2,3
8-Dec-17,Melbourne Victory,Adelaide Utd,1,2
9-Dec-17,Perth Glory,Newcastle Jets,1,2
9-Dec-17,Western Sydney,Sydney FC,0,5
9-Dec-17,Brisbane Roar,Wellington Phoenix,0,0
10-Dec-17,Melbourne City,Central Coast Mariners,1,0
15-Dec-17,Sydney FC,Melbourne City,3,1
16-Dec-17,Perth Glory,Wellington Phoenix,1,0
16-Dec-17,Central Coast Mariners,Western Sydney,0,2
16-Dec-17,Newcastle Jets,Adelaide Utd,2,1
17-Dec-17,Brisbane Roar,Melbourne Victory,1,2
21-Dec-17,Brisbane Roar,Perth Glory,1,2
22-Dec-17,Newcastle Jets,Western Sydney,4,0
23-Dec-17,Melbourne City,Melbourne Victory,0,1
23-Dec-17,Wellington Phoenix,Sydney FC,1,4
26-Dec-17,Adelaide Utd,Central Coast Mariners,1,0
29-Dec-17,Melbourne Victory,Newcastle Jets,2,1
30-Dec-17,Sydney FC,Perth Glory,6,0
30-Dec-17,Adelaide Utd,Brisbane Roar,1,2
31-Dec-17,Central Coast Mariners,Wellington Phoenix,0,0
1-Jan-18,Western Sydney,Melbourne City,2,1
